Date,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Total Vehicles,Percent Electric Vehicles
2017-01-31,14453,7535,21988,5972432,0.3681582310187877
2017-02-28,14917,7730,22647,5960101,0.3799767822726494
2017-03-31,15308,7929,23237,5958998,0.3899481087256616
2017-04-30,15791,8120,23911,5954721,0.40154694065431445
2017-05-31,16187,8330,24517,5956927,0.41157126820590545
2017-06-30,16594,8579,25173,5961303,0.42227345263275495
2017-07-31,16984,8752,25736,5959737,0.4318311361726197
2017-08-31,17273,8967,26240,5968245,0.43966023512774693
2017-09-30,17676,9191,26867,5977226,0.44948944543840236
2017-10-31,18124,9451,27575,5986797,0.46059687676064515
2017-11-30,18472,9685,28157,5996037,0.46959349983997767
2017-12-31,18777,9916,28693,6004891,0.47782715789512253
2018-01-31,19318,10326,29644,6016680,0.49269696909258925
2018-02-28,19563,10620,30183,6011935,0.5020513362170416
2018-03-31,19979,10960,30939,6021573,0.5138026226701894
2018-04-30,20505,11290,31795,6032269,0.527081932188369
2018-05-31,21263,11705,32968,6046062,0.545280547900435
2018-06-30,21976,12123,34099,6060270,0.5626646997576016
2018-07-31,22497,12408,34905,6071526,0.5748966569524696
2018-08-31,23078,12713,35791,6084608,0.5882219528357455
2018-09-30,23652,13036,36688,6091778,0.6022543828747535
2018-10-31,25003,13384,38387,6106289,0.6286469572599659
2018-11-30,26257,13746,40003,6117225,0.6539403079010498
2018-12-31,27192,14049,41241,6122548,0.6735921057703427
2019-01-31,28581,14421,43002,6133901,0.7010546795587342
2019-02-28,29153,14575,43728,6127663,0.7136162677353503
2019-03-31,29486,14703,44189,6131766,0.7206569852796079
2019-04-30,30464,14949,45413,6146834,0.7388030976597058
2019-05-31,31150,15212,46362,6162391,0.7523378506816591
2019-06-30,31977,15437,47414,6172896,0.7680997703509018
2019-07-31,32939,15685,48624,6188137,0.7857615304897095
2019-08-31,33666,15883,49549,6196321,0.7996519224875536
2019-09-30,34431,16101,50532,6204647,0.8144218357627759
2019-10-31,36004,16375,52379,6218218,0.8423474378029203
2019-11-30,36455,16539,52994,6221927,0.8517296972465283
2019-12-31,37102,16697,53799,6225903,0.8641156150360839
2020-01-31,39107,16907,56014,6244720,0.8969817701994645
2020-02-29,39573,17019,56592,6246382,0.9059964632326362
2020-03-31,40286,17154,57440,6237934,0.920817693806956
2020-04-30,40629,17113,57742,6203890,0.9307386172224201
2020-05-31,40615,17111,57726,6180975,0.9339303265261549
2020-06-30,40877,17208,58085,6187630,0.9387277519825846
2020-07-31,42262,17334,59596,6199424,0.9613151157268804
2020-08-31,42855,17479,60334,6204864,0.9723661952945303
2020-09-30,43413,17687,61100,6214855,0.9831283272095648
2020-10-31,44414,17935,62349,6224425,1.0016828863710303
2020-11-30,45772,18110,63882,6226659,1.0259434473607756
2020-12-31,46565,18399,64964,6234954,1.041932306156549
2021-01-31,48122,18733,66855,6235161,1.0722257211962931
2021-02-28,48985,19019,68004,6233295,1.090979971267203
2021-03-31,49803,19373,69176,6247694,1.1072245215594747
2021-04-30,51651,19824,71475,6275840,1.1388913675300836
2021-05-31,52891,20223,73114,6277111,1.1647715007747992
2021-06-30,54003,20807,74810,6282016,1.190859749481695
2021-07-31,56045,21208,77253,6279035,1.2303323679514448
2021-08-31,57565,21622,79187,6276460,1.2616506756993593
2021-09-30,58757,21943,80700,6276329,1.285783457176958
2021-10-31,60482,22356,82838,6271777,1.3208058896226698
2021-11-30,62102,22766,84868,6271270,1.3532825089654885
2021-12-31,63595,23044,86639,6263311,1.3832779499533074
2022-01-31,65186,23377,88563,6252962,1.4163367696781142
2022-02-28,66773,23678,90451,6246408,1.4480482222743054
2022-03-31,68364,24119,92483,6236024,1.4830443243964424
2022-04-30,70756,24473,95229,6229705,1.528627760062475
2022-05-31,72117,24938,97055,6217389,1.561025054086209
2022-06-30,73735,25448,99183,6217770,1.5951538895777748
2022-07-31,76155,25749,101904,6203662,1.6426426842726118
2022-08-31,78413,26199,104612,6200005,1.6872889618637403
2022-09-30,79775,26536,106311,6197875,1.7152814472702338
2022-10-31,83000,26883,109883,6194541,1.7738683140526474
2022-11-30,86157,27226,113383,6193958,1.8305419571782693
2022-12-31,88447,27644,116091,6188731,1.8758449834061295
2023-01-31,91630,28168,119798,6185945,1.9366159899578805
2023-02-28,94029,28709,122738,6178149,1.986646809586496
2023-03-31,96474,29361,125835,6160406,2.042641345391846
2023-04-30,99777,30277,130054,6152610,2.113802109998846
2023-05-31,103176,31039,134215,6146939,2.1834444753722138
2023-06-30,106584,31870,138454,6137700,2.2557961451358
2023-07-31,110053,32440,142493,6112092,2.331329436795127
2023-08-31,115140,33223,148363,6073738,2.4426967379890274
2023-09-30,117052,33788,150840,5977497,2.523464252679675
